review_id,shop_name,address,city,neighborhood,review_date,reviewer_id,overall_rating,coffee_quality,service_quality,atmosphere,value_score,avg_price,wait_time_minutes,has_wifi,power_outlets,outdoor_seating,parking,mobile_ordering,review_text
1,Central Perk,123 Main St,Boston,Downtown,2025-08-07,R2701,4.4,5,3.8,5,2.8,3.47,6,False,None,False,Valet,True,"Great espresso, smooth and rich. Friendly staff, quick service. Needs better lighting."
2,Central Perk,123 Main St,Boston,Downtown,2025-08-27,R1431,4.1,4.2,3.8,5,2.9,2.71,2,True,None,True,Street,True,"Best latte in the city. Long wait but worth it. Cozy atmosphere, perfect for working."
3,Central Perk,123 Main St,Boston,Downtown,2025-11-07,R1832,4.3,4.4,4.5,4.5,2.9,4.29,4,True,Plenty,False,Lot,True,Excellent pour-over. Long wait but worth it. Modern and clean.
4,Central Perk,123 Main St,Boston,Downtown,2025-10-17,R9202,4.3,4.9,3.4,5,3.5,5.29,11,True,Plenty,True,None,True,"Decent coffee, could be better. Service was slow today. Needs better lighting."
5,Central Perk,123 Main St,Boston,Downtown,2025-09-14,R9934,4.1,3.8,4.6,4.4,2.8,2.8,12,False,Limited,True,Lot,True,"Coffee was okay, nothing special. Long wait but worth it. Modern and clean."
6,Central Perk,123 Main St,Boston,Downtown,2025-09-06,R8978,4.5,5,4.4,4.1,3.2,3.64,11,True,None,False,Valet,True,"Great espresso, smooth and rich. Great customer service. Quiet and peaceful."
7,Central Perk,123 Main St,Boston,Downtown,2025-06-15,R4932,4.4,5,4.0,4.2,3.3,2.95,11,True,None,True,Lot,True,"Coffee tasted burnt. Staff was helpful and knowledgeable. Cozy atmosphere, perfect for working."
8,Central Perk,123 Main St,Boston,Downtown,2025-09-11,R5089,4.6,5,4.5,4.9,2.7,3.4,13,False,None,True,Valet,True,"Great espresso, smooth and rich. Baristas are amazing. Quiet and peaceful."
9,Central Perk,123 Main St,Boston,Downtown,2025-08-22,R3451,4.6,4.7,4.4,5,3.6,5.2,12,False,Limited,True,Street,True,"Best latte in the city. Baristas are amazing. Too noisy, hard to concentrate."
10,Central Perk,123 Main St,Boston,Downtown,2025-09-21,R7843,4.1,3.9,4.1,4.5,3.8,2.84,12,True,Limited,False,Valet,True,"Decent coffee, could be better. Staff was helpful and knowledgeable. Modern and clean."
11,Central Perk,123 Main St,Boston,Downtown,2025-08-22,R2256,4.2,5,3.5,4.6,2.7,2.53,3,False,None,True,None,False,"Great espresso, smooth and rich. Long wait but worth it. Too noisy, hard to concentrate."
12,Central Perk,123 Main St,Boston,Downtown,2025-09-13,R1569,4.4,5,4.0,4.1,3.3,5.47,5,False,None,False,Street,True,Excellent pour-over. Baristas are amazing. Modern and clean.
13,Central Perk,123 Main St,Boston,Downtown,2025-11-19,R8915,4.1,4.9,3.3,4.3,3.2,3.45,9,True,Plenty,True,Valet,True,Best latte in the city. Staff was helpful and knowledgeable. Quiet and peaceful.
14,Central Perk,123 Main St,Boston,Downtown,2025-06-22,R1126,4.3,4.9,3.6,4.5,3.5,3.74,15,False,Plenty,False,None,True,"Coffee tasted burnt. Friendly staff, quick service. Too noisy, hard to concentrate."
15,Central Perk,123 Main St,Boston,Downtown,2025-09-29,R2440,3.9,4.2,4.0,4.1,2.4,2.77,14,True,Plenty,True,Valet,False,Best latte in the city. Staff seemed rushed. Needs better lighting.
16,Central Perk,123 Main St,Boston,Downtown,2025-10-16,R4207,3.9,4.3,3.3,4.9,2.3,4.71,13,False,None,True,None,True,"Coffee was okay, nothing special. Staff seemed rushed. Cozy atmosphere, perfect for working."
17,Central Perk,123 Main St,Boston,Downtown,2025-11-06,R3275,4.6,5,4.3,4.9,3.2,4.18,8,False,Limited,False,Street,True,"Decent coffee, could be better. Staff seemed rushed. Too noisy, hard to concentrate."
18,Central Perk,123 Main St,Boston,Downtown,2025-06-22,R1194,4.5,5,4.0,4.6,3.7,3.86,5,True,Plenty,False,Street,False,"Decent coffee, could be better. Friendly staff, quick service. Quiet and peaceful."
19,Central Perk,123 Main St,Boston,Downtown,2025-07-10,R3210,4.5,5,4.3,4.8,2.3,2.85,13,True,Plenty,True,Lot,True,"Amazing coffee, perfectly brewed. Staff was helpful and knowledgeable. Quiet and peaceful."
20,Central Perk,123 Main St,Boston,Downtown,2025-08-29,R9157,3.9,4.0,3.6,4.6,3.1,5.54,12,False,Plenty,False,Lot,True,"Great espresso, smooth and rich. Baristas are amazing. Too noisy, hard to concentrate."
